pergunta,resposta
"Qual a vantagem tática de se liderar com Grimmsnarl (1,79% de lead em Bo3 de alto elo)?","Liderar com Grimmsnarl garante que Reflect ou Light Screen prioritárias (via Prankster) sejam erguidas de imediato no primeiro turno, mitigando massivamente o dano de leads hiperofensivos oponentes e estabilizando as defesas do time."
"Qual o perigo estratégico enfrentado ao se liderar com Mega Blastoise (1,30% de lead em Bo3) contra times de Sol?",Mega Blastoise sofre enormemente contra Sol devido à redução de 50% de dano em seus ataques de Água (como Water Spout) e à presença comum de parceiros de Sol rápidos (como Venusaur) que ameaçam nocautear o Blastoise com Giga Drain.
"Por que liderar com Alolan Ninetales (0,25% de lead em Bo3) é uma abertura defensiva de alta utilidade?","O lead de Alolan Ninetales invoca neve instantaneamente com Snow Warning (concedendo bônus de 1,5x de Defesa para tipos Gelo) e configura Aurora Veil no turno 1, reduzindo pela metade todo o dano físico e especial recebido pela equipe."
"Qual o objetivo de se liderar com Hisuian Arcanine (1,41% de lead em Bo3 de alto elo) ao lado de um Tailwind setter?","Essa abertura busca aplicar um nocaute imediato e devastador com Flare Blitz ou Head Smash STAB (fortalecidos por Rock Head) em ameaças velozes do oponente que foram ultrapassadas sob Tailwind, garantindo vantagem numérica instantânea."
"Como aberturas de Trick Room lideradas por Farigiraf (1,56% de lead em Bo3 de alto elo) neutralizam leads rápidos?","Farigiraf impede totalmente Fake Out e movimentos prioritários Prankster do oponente com Armor Tail, configurando Trick Room de forma limpa no turno 1 para inverter a prioridade de velocidade e punir os oponentes velozes."
"Qual o papel de se liderar com Toxapex (1,05% de lead em Bo3 de alto elo) no primeiro turno?","Toxapex lidera no turno 1 para posicionar Wide Guard e proteger seu parceiro contra golpes de área devastadores (como Eruption ou Heat Wave de leads de Sol), ou usar Infestation para prender um lead oponente e ditar matchups favoráveis."
"Por que liderar com Glimmora (0,27% de lead em Bo3) é uma tática astuta contra equipes de Fake Out?","Liderar com Glimmora pune severamente ataques de Fake Out físicos do oponente. Ao sofrer contato físico, sua habilidade Toxic Debris espalha espinhos venenosos (Poison Spikes) no campo oponente de imediato no turno 1, punindo futuras trocas."
"Qual item domina as estatísticas de uso em Gholdengo (59,42%) e qual movimento de status é priorizado para setup?","Gholdengo utiliza majoritariamente Life Orb (59,42% de uso) para amplificar o dano especial de Make It Rain e Shadow Ball, tendo o movimento Nasty Plot (100% de uso) como ferramenta mandatória de setup ofensivo especial."
Qual é a distribuição típica de SPs (EVs) recomendada na dex para Gholdengo atuar como um Setup Sweeper no Regulation M-B?,"A dex recomenda o spread Timid de 32 HP / 8 Def / 7 SpA / 3 SpD / 16 Spe, balanceando durabilidade defensiva excelente com velocidade suficiente para ultrapassar ameaças de elo alto após Tailwind."
"Qual item é utilizado em 96,05% das estatísticas de Glimmora no Regulation M-B e qual a sua distribuição de SPs (EVs) na dex?","Glimmora utiliza quase exclusivamente Focus Sash (96,05% de uso) para garantir sobrevivência a um ataque super efetivo do tipo Terra, com a distribuição clássica Modest de 2 HP / 32 SpA / 32 Spe para máxima agressividade especial."
Quais são os três principais itens equipados em Aegislash e suas respectivas taxas de uso no Regulation M-B?,"Aegislash equipa principalmente o item Life Orb com 28,66% de uso, White Herb com 28,29% (anular queda de atributos) e Spell Tag com 22,07% (potencializar ataques físicos de Fantasma como Poltergeist)."
Qual o spread de SPs (EVs) clássico de Aegislash físico e quais são os seus quatro movimentos padrão?,"O spread clássico é Brave: 32 HP / 32 Atk / 2 Def (29,46% de uso). Seu moveset físico padrão traz obrigatoriamente King's Shield, Poltergeist, Shadow Sneak (prioridade STAB) e Close Combat (cobertura super efetiva)."
"Qual item domina as estatísticas de Mimikyu (53,82%) de acordo com o Chaos e quais são os seus companheiros de equipe mais comuns?","Mimikyu segura principalmente Life Orb (53,82%), tendo como teammates mais comuns Incineroar (28,24%), Archaludon (26,93%) e Farigiraf (26,02%), encaixando-se em equipes balanceadas de Trick Room e suporte de screens."
Qual item e distribuição de SPs (EVs) são recomendados para o suporte defensivo Toxapex na dex de Regulation M-B?,"Toxapex equipa obrigatoriamente Leftovers (99,66% de uso) com o spread Bold: 32 HP / 18 Def / 16 SpD (49,31% de uso), otimizando sua resistência máxima associada à habilidade Regenerator."
"Qual item detém 42,45% de uso em Alolan Ninetales nos dados de elo alto e quais movimentos compõem o seu moveset padrão?","Alolan Ninetales equipa preferencialmente Choice Scarf (42,45%) para garantir velocidade, com o moveset composto por Blizzard (100% preciso no granizo), Moonblast, Icy Wind (controle de velocidade) e Aurora Veil."
Como se distribui os SPs (EVs) de um Mega Blastoise (Modest) focado em ofensiva máxima sob a chuva?,"A distribuição de maior sucesso é Modest: 2 HP / 32 SpA / 32 Spe (48,44% de preferência), permitindo que Blastoise atinja máxima velocidade e desfira Water Spout STAB super-potente na chuva."
"Qual item, habilidade e moveset são típicos de Ceruledge nos dados do Chaos do Regulation M-B?","Ceruledge segura majoritariamente Colbur Berry (70,14% de uso), possui a habilidade Flash Fire (99,59% de uso) e roda o moveset com Bitter Blade, Shadow Sneak, Swords Dance e Protect."
Qual a distribuição de SPs (EVs) recomendada para o ativador de Trick Room Camerupt-Mega e quais IVs são priorizados?,Camerupt-Mega utiliza uma natureza Quiet com o spread defensivo/ofensivo especial de 32 HP / 32 SpA / 2 SpD. IVs de Velocidade em 0 são priorizados para garantir que ele atace primeiro que qualquer ameaça sob Trick Room.
O que faz o item Chople Berry em Kingambit e qual a sua taxa de uso em combates Bo3 de elo alto?,"Chople Berry reduz pela metade o dano de um ataque super efetivo do tipo Lutador (como Close Combat de Sneasler). O item é muito popular em combates Bo3 de alto elo, alcançando 28,47% de taxa de uso para evitar o nocaute imediato."
"No formato Bo3 de alto elo (1760+ Elo) do Regulation M-B, qual é a taxa de uso do suporte especial Mega Raichu Y e qual o seu tiering de viabilidade?","Mega Raichu Y registra 12,05% de uso em Bo3 de alto elo e está classificado no Tier B- de viabilidade, destacando-se como um atacante elétrico/fada muito veloz que oferece pressão ofensiva rápida sem necessitar do suporte dedicado de Whimsicott."
Qual a taxa de uso do Mega Delphox em combates Bo3 de elo alto e qual habilidade passiva o define defensivamente no Regulation M-B?,"Mega Delphox registra 10,72% de uso em Bo3 de elo alto. Sua habilidade Levitate (100% de presença) o define defensivamente, concedendo-lhe imunidade total a ataques do tipo Terra, como Earthquake de Garchomp e High Horsepower."
"De acordo com a lista oficial de viabilidade do Regulation M-B, em qual sub-tier se encontram Tyranitar-Mega, Aerodactyl e Metagross-Mega?","Tyranitar-Mega se encontra no Tier B-, enquanto Aerodactyl (base) e Metagross-Mega estão classificados no Tier B de viabilidade."
Qual é a taxa de uso do Mega Aerodactyl em combates Bo3 de elo alto no Regulation M-B e por que ele é valorizado em times hiperofensivos?,"Mega Aerodactyl possui 8,41% de uso em Bo3 de elo alto. Ele é valorizado por sua altíssima velocidade natural e acesso a Tailwind, além da habilidade Unnerve, que impede adversários de consumirem bagas defensivas (como Chople Berry ou Sitrus Berry)."
"Por que o uso do Milotic se mantém relevante no Regulation M-B (5,09% de uso em Bo3 de alto elo) e em qual tier ele está posicionado?","Milotic está no Tier B- de viabilidade. Sua relevância vem de sua habilidade Competitive, que pune os ativadores de Intimidate (como Incineroar) concedendo a Milotic um bônus imediato de +2 em seu Ataque Especial."
Qual é o posicionamento de viabilidade de Mega Swampert no Regulation M-B e qual é a sua taxa de uso em Bo3 de alto elo?,"Mega Swampert está classificado no Tier B de viabilidade e registra 8,98% de uso em Bo3 de alto elo, sendo o principal atacante físico de água sob o clima de chuva com sua habilidade Swift Swim."
"Por que Annihilape é classificado no Tier C+ de viabilidade (com 1,08% de uso em Bo3 de alto elo) no Regulation M-B?","Annihilape enfrenta forte concorrência de outros atacantes físicos de Lutador/Fantasma como Sneasler e Aegislash, além de sofrer severamente contra a dominância de Mega Charizard Y e ataques especiais do tipo Fada de Mega Floette e Sylveon."
Qual é a taxa de uso de Excadrill em Bo3 de elo alto no Regulation M-B e como ele se posiciona no ranking de viabilidade?,"Excadrill possui 4,64% de uso em Bo3 de alto elo e está classificado no Tier C+ de viabilidade, atuando principalmente em composições de areia ao lado de Tyranitar."
Qual é a taxa de uso de Mega Tyranitar em Bo3 de elo alto e qual o seu papel no controle de clima no Regulation M-B?,"Mega Tyranitar possui 4,78% de uso em Bo3 de alto elo. Seu papel é atuar como o principal invocador de tempestade de areia (Sand Stream), aumentando a Special Defense de aliados do tipo Pedra e anulando climas de Sol e Chuva adversários."
"Por que Vivillon se posiciona no Tier C+ de viabilidade mesmo registrando 3,51% de uso em Bo3 de alto elo no Regulation M-B?","Vivillon possui suporte utilitário único com Compound Eyes (tornando Sleep Powder e Hurricane quase 100% precisos) e Rage Powder, mas sua extrema fragilidade defensiva e fraqueza 4x a Pedra limitam seu viés em torneios de alto nível."
Qual é o desempenho e a viabilidade do Mega Dragonite no formato Bo3 de alto elo do Regulation M-B?,"Mega Dragonite possui 2,14% de uso em Bo3 de alto elo e está no Tier C+ de viabilidade, servindo como uma opção secundária de Mega-evolução pesada que se beneficia de composições de chuva e suporte de controle de velocidade."
"O que mantém o Torkoal no Tier B- de viabilidade no Regulation M-B apesar de ter apenas 1,59% de uso em Bo3 de elo alto?",Torkoal é mantido no Tier B- por ser o melhor invocador de Sol alternativo para composições de Trick Room extremo devido à sua altíssima lentidão e capacidade de desferir Eruption massivo sob o sol.
Qual é o posicionamento de viabilidade de Mega Venusaur no Regulation M-B e como seu papel difere da forma base?,"Mega Venusaur está no Tier B de viabilidade. Diferente da forma base (que usa Chlorophyll no sol para velocidade), a forma Mega ganha a habilidade Thick Fat e foco em extrema durabilidade defensiva e controle de campo."
